lat,lon,year,scenario,chill_days
25.94,-122.553,2020,ssp126,0
25.94,-121.33,2020,ssp126,0
25.94,-120.106,2020,ssp126,0
25.94,-118.883,2020,ssp126,0
25.94,-117.66,2020,ssp126,0
25.94,-116.436,2020,ssp126,0
25.94,-115.213,2020,ssp126,0
25.94,-113.989,2020,ssp126,0
25.94,-112.766,2020,ssp126,0
25.94,-111.543,2020,ssp126,0
25.94,-110.319,2020,ssp126,0
25.94,-109.096,2020,ssp126,17
25.94,-107.872,2020,ssp126,39
25.94,-106.649,2020,ssp126,63
25.94,-105.426,2020,ssp126,88
25.94,-104.202,2020,ssp126,83
25.94,-102.979,2020,ssp126,61
25.94,-101.755,2020,ssp126,46
25.94,-100.532,2020,ssp126,35
25.94,-99.308,2020,ssp126,24
25.94,-98.085,2020,ssp126,12
25.94,-96.862,2020,ssp126,5
25.94,-95.638,2020,ssp126,2
25.94,-94.415,2020,ssp126,0
25.94,-93.192,2020,ssp126,0
25.94,-91.968,2020,ssp126,0
25.94,-90.745,2020,ssp126,0
25.94,-89.521,2020,ssp126,0
25.94,-88.298,2020,ssp126,0
25.94,-87.074,2020,ssp126,0
25.94,-85.851,2020,ssp126,0
25.94,-84.628,2020,ssp126,0
25.94,-83.404,2020,ssp126,0
25.94,-82.181,2020,ssp126,0
25.94,-80.957,2020,ssp126,0
25.94,-79.734,2020,ssp126,0
25.94,-78.511,2020,ssp126,0
25.94,-77.287,2020,ssp126,0
25.94,-76.064,2020,ssp126,0
25.94,-74.84,2020,ssp126,0
25.94,-73.617,2020,ssp126,0
25.94,-72.394,2020,ssp126,0
25.94,-71.17,2020,ssp126,0
25.94,-69.947,2020,ssp126,0
25.94,-68.723,2020,ssp126,0
25.94,-67.5,2020,ssp126,0
26.558,-125.0,2020,ssp126,0
26.558,-123.777,2020,ssp126,0
26.558,-122.553,2020,ssp126,0
26.558,-121.33,2020,ssp126,0
26.558,-120.106,2020,ssp126,0
26.558,-118.883,2020,ssp126,0
26.558,-117.66,2020,ssp126,0
26.558,-116.436,2020,ssp126,0
26.558,-115.213,2020,ssp126,0
26.558,-113.989,2020,ssp126,0
26.558,-112.766,2020,ssp126,0
26.558,-111.543,2020,ssp126,0
26.558,-110.319,2020,ssp126,0
26.558,-109.096,2020,ssp126,33
26.558,-107.872,2020,ssp126,78
26.558,-106.649,2020,ssp126,91
26.558,-105.426,2020,ssp126,92
26.558,-104.202,2020,ssp126,78
26.558,-102.979,2020,ssp126,57
26.558,-101.755,2020,ssp126,46
26.558,-100.532,2020,ssp126,40
26.558,-99.308,2020,ssp126,30
26.558,-98.085,2020,ssp126,17
26.558,-96.862,2020,ssp126,8
26.558,-95.638,2020,ssp126,3
26.558,-94.415,2020,ssp126,0
26.558,-93.192,2020,ssp126,0
26.558,-91.968,2020,ssp126,0
26.558,-90.745,2020,ssp126,0
26.558,-89.521,2020,ssp126,0
26.558,-88.298,2020,ssp126,0
26.558,-87.074,2020,ssp126,0
26.558,-85.851,2020,ssp126,0
26.558,-84.628,2020,ssp126,0
26.558,-83.404,2020,ssp126,0
26.558,-82.181,2020,ssp126,0
26.558,-80.957,2020,ssp126,0
26.558,-79.734,2020,ssp126,0
26.558,-78.511,2020,ssp126,0
26.558,-77.287,2020,ssp126,0
26.558,-76.064,2020,ssp126,0
26.558,-74.84,2020,ssp126,0
26.558,-73.617,2020,ssp126,0
26.558,-72.394,2020,ssp126,0
26.558,-71.17,2020,ssp126,0
26.558,-69.947,2020,ssp126,0
